name,pop,lat,lon
Jackson ,9,32.298756,-90.184807
Madison ,3,32.474022,-90.130957
Frankfort ,1,38.1917,-84.8578
New York ,1,40.7128,-74.0060
Seattle ,1,47.6062,-122.335167
Juneau ,1,58.3019,-134.4197
Albuquerque ,1,35.0844,-106.6504
Lucedale ,1,30.9252,-88.5900
San Diego ,3,32.7157,-117.1611
Los Angeles ,1,34.0522,-118.2437
Washington D.C. ,1,38.9072,-77.0369
Honolulu ,1,21.3069,-157.8583
Atlanta ,1,33.7490,-84.3880
Boulder ,1,40.0150,-105.2705
Biloxi ,2,30.3960,-88.8853
Mobile ,2,30.6954,-88.0399
Oxford ,2,34.3665,-89.5192
Austin ,2,30.2672,-97.7431
Orlando ,1,28.5383,-81.3792
Portland ,1,45.5122,-122.6587
